VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
480,BACARDI USA INC,2184,Bonnie Rose Orange Peel,750.0,19.99,363.52000000000027,290,3294.3999999999996,535.0,8035.649999999962,3808.4699999999752,421.61000000000104,89286.26999999999,4741.249999999963,59.00269424377599,1.8448275862068966,2.439184677027672,11.36,Medium,-4897.549999999999
480,BACARDI USA INC,2200,Bonnie Rose Spiced Apple,750.0,19.99,334.1799999999998,269,2899.82,493.0,7419.06999999996,3776.499999999976,388.63000000000136,89286.26999999999,4519.24999999996,60.91396900150537,1.8327137546468402,2.5584588008910756,10.780000000000001,Medium,-4477.759999999999
480,BACARDI USA INC,2258,Dewars Special Reserve 12 Yr,375.0,16.99,4464.890000000009,5326,52035.019999999975,4850.0,66365.49999999952,47049.95999999968,1901.2000000000896,89286.26999999999,14330.479999999545,21.593267586320678,0.9106271122793842,1.2754006820790988,9.769999999999996,Large,8087.239999999999
480,BACARDI USA INC,2329,Craigellachie 13 Yr Scotch,750.0,54.99,4883.149999999989,759,29183.55000000005,612.0,29755.880000000252,25451.770000000248,482.7900000000033,89286.26999999999,572.3300000002018,1.9234181613859074,0.8063241106719368,1.0196113906635829,38.45000000000007,Medium,8083.530000000001
480,BACARDI USA INC,2502,Dewars Wh Label & Honey 2 Pk,750.0,34.99,26.92,3,80.76,98.0,3429.019999999994,2204.3699999999994,77.27000000000002,89286.26999999999,3348.259999999994,97.64480813760198,32.666666666666664,42.45938583457149,26.92,Small,-3324.05
480,BACARDI USA INC,2611,Dewar's 15 Yr Old Rsv,750.0,54.99,2719.3199999999965,472,18875.27999999999,415.0,19294.850000000006,15873.649999999936,327.3300000000007,89286.26999999999,419.57000000001426,2.174518070884273,0.8792372881355932,1.0222285444242425,39.98999999999998,Medium,3134.4300000000003
480,BACARDI USA INC,2614,Dewars Special RSV 12-Year,1750.0,59.99,1607.1900000000007,320,13187.200000000006,289.0,16094.109999999955,12502.74999999996,531.3999999999983,89286.26999999999,2906.909999999949,18.061949371540003,0.903125,1.2204342089298674,41.21000000000002,Medium,1859.69
480,BACARDI USA INC,2622,Dewars Scratch Cask Scotch,750.0,26.99,4364.100000000009,1633,30455.450000000088,1479.0,38435.21000000028,30268.390000000774,1166.4699999999862,89286.26999999999,7979.760000000195,20.76158813754403,0.9056950398040416,1.2620141879368116,18.650000000000055,Large,4156.46
480,BACARDI USA INC,2624,Dewars 18 Yr Old Founders Rv,750.0,64.99,6359.36000000002,748,34976.480000000025,644.0,42753.56000000013,36269.54000000024,508.13000000000426,89286.26999999999,7777.080000000104,18.19048519000542,0.8609625668449198,1.2223517060607614,46.76000000000003,Medium,6758.959999999999
480,BACARDI USA INC,2628,Dewars Special RSV 12-Yr,750.0,31.99,6630.690000000019,3780,88565.40000000026,3547.0,112630.53000000403,89305.9500000025,2796.8699999999467,89286.26999999999,24065.130000003774,21.36643590330518,0.9383597883597884,1.2717215752427438,23.430000000000067,Large,7453.67
480,BACARDI USA INC,2663,Dewars White Label,1750.0,29.99,101509.37999999312,69001,1478001.4200000197,70122.0,2189368.7799998308,495957.829999904,128839.0799999836,89286.26999999999,711367.359999811,32.4918929372815,1.0162461413602701,1.4813035700600352,21.420000000000286,Large,-33618.79
480,BACARDI USA INC,2665,Dewars White Label,750.0,19.99,24454.200000000157,18574,285668.1199999955,19088.0,400461.1199999573,215262.60999997752,15034.060000002026,89286.26999999999,114792.99999996176,28.665204751955446,1.0276730914181114,1.401840429376451,15.37999999999976,Large,-10274.859999999999
480,BACARDI USA INC,2668,Dewars White Label,375.0,13.99,2659.3199999999947,5788,61815.83999999992,5551.0,74776.49000000146,58804.479999997755,2173.7700000000928,89286.26999999999,12960.650000001544,17.332519886934104,0.9590532135452661,1.2096655161525196,10.679999999999986,Large,3315.63
480,BACARDI USA INC,2672,Dewars White Label,50.0,2.29,887.3999999999928,23159,41686.19999999988,22276.0,51012.04000000494,16275.030000002962,1157.1399999999771,89286.26999999999,9325.84000000506,18.28164488227516,0.9618722742778185,1.2237152822757913,1.799999999999995,Large,2022.07
480,BACARDI USA INC,2679,Dewars Highlander Honey,750.0,22.99,342.7199999999998,226,3227.28,2348.0,46676.52000000036,30697.680000001023,1850.9399999999682,89286.26999999999,43449.24000000036,93.08585987130151,10.389380530973451,14.463114449319662,14.280000000000001,Medium,-48784.78
480,BACARDI USA INC,2742,Aberfeldy 12 Yr Single Malt,750.0,53.99,6760.4399999999705,1029,39081.41999999999,881.0,42761.19000000009,36307.53000000034,694.9199999999994,89286.26999999999,3679.7700000000987,8.605396622498324,0.8561710398445093,1.094156507107472,37.97999999999999,Medium,7990.52
480,BACARDI USA INC,2863,The Deveron 12 Yr Scotch,750.0,44.99,1304.92,183,6284.22,248.0,11592.51999999996,10462.759999999962,195.73999999999964,89286.26999999999,5308.29999999996,45.79073402504355,1.355191256830601,1.8447030816871401,34.34,Medium,-2924.35
480,BACARDI USA INC,2916,Royal Brackla 12 Yr Scotch,750.0,63.99,1035.0999999999997,112,5269.600000000002,163.0,10725.369999999972,10597.389999999972,128.75000000000043,89286.26999999999,5455.7699999999695,50.8678954665432,1.4553571428571428,2.0353290572339393,47.05000000000002,Medium,-3263.4900000000002
480,BACARDI USA INC,2933,Aultmore 12 Yr Scotch,750.0,48.99,1360.8000000000009,195,7581.599999999999,328.0,16593.71999999995,14172.199999999948,258.80999999999943,89286.26999999999,9012.119999999952,54.31042587195625,1.682051282051282,2.18868312757201,38.879999999999995,Medium,-6515.67
480,BACARDI USA INC,3016,Bombay Sapphire East Gin,750.0,19.99,4216.510000000017,4876,71140.8400000002,5421.0,113409.7900000058,78758.61000000135,4272.689999999952,89286.26999999999,42268.9500000056,37.27098868625313,1.111771944216571,1.5941587138977482,14.59000000000004,Large,-10894.55
480,BACARDI USA INC,3139,Grey Goose Le Melon,750.0,23.99,4551.119999999999,2211,39002.039999999935,2220.0,54432.79999999979,37964.05000000054,1749.9399999999669,89286.26999999999,15430.759999999857,28.348275304595603,1.0040705563093624,1.395639817814655,17.639999999999972,Large,-215.91
480,BACARDI USA INC,3185,Grey Goose L'Orange Vodka,1750.0,46.99,176.64999999999998,33,1165.8899999999999,280.0,13157.199999999966,9257.029999999968,514.7499999999986,89286.26999999999,11991.309999999967,91.13876812695707,8.484848484848484,11.285112660714105,35.33,Small,-11606.53
480,BACARDI USA INC,3194,Grey Goose Cherry Noir Vodka,750.0,23.99,7909.920000000073,3497,64030.07000000022,3846.0,94295.5400000027,64528.79999999831,3031.7099999999623,89286.26999999999,30265.470000002482,32.096396075574326,1.0997998284243637,1.4726758849397226,18.310000000000063,Large,-8372.51
480,BACARDI USA INC,3199,Grey Goose La Poire Vodka,1750.0,46.99,343.00000000000006,69,2366.7,260.0,12217.39999999997,7753.349999999974,477.97999999999917,89286.26999999999,9850.699999999972,80.62844795128255,3.7681159420289854,5.162208982972059,34.3,Small,-8975.09
480,BACARDI USA INC,3343,Bombay Sapphire Gin,375.0,12.49,5997.64000000002,7472,70685.11999999946,7327.0,95177.73000000394,71263.13999999895,2870.799999999954,89286.26999999999,24492.610000004483,25.733551325508046,0.9805942184154176,1.3465030546740908,9.459999999999928,Large,1811.05
480,BACARDI USA INC,3344,Bombay Sapphire Gin,750.0,19.99,24009.93000000063,23798,344833.02000000566,24620.0,516761.7999999324,236205.69999996744,19388.250000003125,89286.26999999999,171928.77999992674,33.27041201573902,1.0345407177073704,1.4985856052878113,14.490000000000238,Large,-16431.78
480,BACARDI USA INC,3345,Bombay Sapphire Gin,50.0,2.29,691.4599999999988,20387,31395.97999999986,19658.0,39119.420000001075,14361.82999999866,1019.5599999999914,89286.26999999999,7723.440000001214,19.743237501990063,0.9642419188698681,1.246000921137077,1.5399999999999932,Large,1669.41
480,BACARDI USA INC,3348,Bombay Sapphire Gin,1750.0,29.99,96860.64000000317,57349,1283470.6200000097,56888.0,1766391.1199997794,460087.94999991776,104524.53999998014,89286.26999999999,482920.49999976973,27.33938676049447,0.9919614988927444,1.3762614371334547,22.38000000000017,Large,13825.39
480,BACARDI USA INC,3436,Bombay Dry Gin,1750.0,26.99,33953.53000000118,12950,243330.49999999945,12094.0,312799.0599999797,182038.83999999304,22225.64999999991,89286.26999999999,69468.55999998024,22.20868566548274,0.9338996138996138,1.2854905570817485,18.789999999999957,Large,23103.44
480,BACARDI USA INC,3437,Bombay Dry Gin,750.0,19.99,5356.080000000029,4605,63733.200000000295,4445.0,82741.55000000203,65670.79999999767,3504.999999999945,89286.26999999999,19008.35000000173,22.973161609857762,0.9652551574375678,1.2982487934075433,13.840000000000064,Large,3198.3999999999996
480,BACARDI USA INC,3460,Corzo Anejo Tequila,750.0,58.99,4227.119999999997,612,25116.48000000004,548.0,30702.520000000277,27591.080000000264,432.45000000000306,89286.26999999999,5586.040000000237,18.194076577428127,0.8954248366013072,1.222405368905206,41.04000000000006,Medium,3775.36
480,BACARDI USA INC,3461,Corzo Silver Tequila,750.0,49.99,119.97,13,519.87,14.0,699.86,449.91,11.04,89286.26999999999,179.99,25.718000743005742,1.0769230769230769,1.3462211706772846,39.99,Small,-49.99
480,BACARDI USA INC,3472,Cazadores Blanco Tequila,750.0,16.99,2186.699999999992,2636,29259.600000000046,2402.0,42528.9800000003,32391.75000000122,1893.9699999999582,89286.26999999999,13269.380000000256,31.200795316511616,0.9112291350531108,1.4535051743701293,11.100000000000017,Large,3975.66
480,BACARDI USA INC,3475,Cazadores Anejo Tequila,750.0,29.99,44.76,7,156.66,13.0,389.87000000000006,239.92000000000002,10.25,89286.26999999999,233.21000000000006,59.817375022443386,1.8571428571428572,2.48863781437508,22.38,Small,-179.94
480,BACARDI USA INC,3611,Grey Goose La Poire Vodka,375.0,14.99,16.5,30,165.0,30.0,449.7,44.97,11.81,89286.26999999999,284.7,63.30887258172114,1.0,2.7254545454545456,5.5,Small,0.0
480,BACARDI USA INC,3613,Bacardi Reserva Limitada,750.0,89.99,67.66,2,135.32,32.0,2879.679999999999,2249.7499999999995,25.21999999999999,89286.26999999999,2744.3599999999988,95.30086676297365,16.0,21.28052024830032,67.66,Small,-2699.7
480,BACARDI USA INC,3615,Bacardi Anejo Mexican Rum,750.0,18.99,77.13999999999999,92,1013.8400000000001,177.0,2476.2299999999996,769.4500000000004,139.41000000000005,89286.26999999999,1462.3899999999994,59.057115049894385,1.923913043478261,2.442426812909334,11.020000000000001,Medium,-1614.1499999999999
480,BACARDI USA INC,3778,Grey Goose Le Citron Vodka,1750.0,46.99,171.5,25,857.5,209.0,9820.909999999974,7377.429999999976,384.229999999999,89286.26999999999,8963.409999999974,91.26862989274922,8.36,11.452956268221545,34.3,Small,-8646.16
480,BACARDI USA INC,3782,Grey Goose Le Citron Vodka,750.0,23.99,19456.699999999717,7312,138123.67999999798,7572.0,186388.7799999995,120956.06000000997,5966.309999999796,89286.26999999999,48265.10000000152,25.894852683730026,1.035557986870897,1.349433927621985,18.889999999999723,Large,-6237.4
480,BACARDI USA INC,3830,Grey Goose L'Orange Vodka,750.0,23.99,15553.350000000233,6120,112913.99999999908,6400.0,157610.0000000012,101188.04000000584,5042.759999999903,89286.26999999999,44696.00000000211,28.358606687394055,1.0457516339869282,1.3958410825938543,18.44999999999985,Large,-6717.2
480,BACARDI USA INC,3831,Grey Goose L'Orange Vodka,50.0,3.79,421.93999999999863,5774,16686.860000000008,5219.0,20823.809999999878,9679.739999999587,268.2600000000024,89286.26999999999,4136.94999999987,19.86644134766834,0.903879459646692,1.2479166242180895,2.8900000000000015,Large,2103.45
480,BACARDI USA INC,3847,Grey Goose Vodka,50.0,3.79,1236.3999999999864,22334,62758.54000000001,21606.0,86207.94000000304,31536.9600000053,1119.1499999999742,89286.26999999999,23449.400000003036,27.200974759404073,0.9674039580908033,1.3736447661147475,2.8100000000000005,Large,2759.12
480,BACARDI USA INC,3851,Grey Goose Vodka,375.0,15.99,14219.660000000362,20841,250508.81999999852,20370.0,303207.2999999673,131327.4300000186,8002.790000001076,89286.26999999999,52698.47999996875,17.380346713279806,0.9774003166834605,1.2103657667621006,12.019999999999929,Large,7531.29
480,BACARDI USA INC,3857,Grey Goose Vodka,1750.0,49.99,116532.150000003,33388,1277758.760000017,32945.0,1699669.5499998436,589137.7899999245,60533.42999999001,89286.26999999999,421910.7899998266,24.823106938632005,0.9867317599137415,1.3301959675078423,38.27000000000051,Large,22145.57
480,BACARDI USA INC,3858,Grey Goose Vodka,750.0,23.99,70475.81999999593,138809,2466635.930000067,141860.0,3383912.400000434,446932.0899998915,111699.19000000012,89286.26999999999,917276.4700003667,27.106980369830175,1.0219798428055817,1.3718734730343207,17.770000000000483,Large,-73193.48999999999
480,BACARDI USA INC,3961,Grey Goose La Poire Vodka,750.0,23.99,11301.74000000004,4484,81474.2799999998,4625.0,113994.25000000394,75587.90000000045,3644.7099999999778,89286.26999999999,32519.97000000415,28.527728372267042,1.0314451382694023,1.3991439997997432,18.169999999999956,Large,-3382.5899999999997
480,BACARDI USA INC,4025,Bacardi Oakheart Spiced Rum,50.0,1.79,83.57000000000002,3197,4379.889999999999,5437.0,9732.23000000008,4585.97999999992,279.65000000000504,89286.26999999999,5352.34000000008,54.996028659413476,1.7006568658116985,2.2220261239437704,1.3699999999999999,Large,-4009.6
480,BACARDI USA INC,4028,Bacardi Artic Grape Rum,750.0,11.99,7.99,12,95.88,14.0,195.85999999999999,27.98,11.02,89286.26999999999,99.97999999999999,51.046665985908305,1.1666666666666667,2.0427617855652898,7.989999999999999,Small,-23.98
480,BACARDI USA INC,4042,Bacardi Dragon Berry,50.0,0.99,14.400000000000004,233,167.75999999999996,3236.0,3203.6399999999435,1474.110000000012,166.3999999999992,89286.26999999999,3035.8799999999437,94.76345656815364,13.888412017167383,19.096566523604817,0.7199999999999999,Medium,-2972.97
480,BACARDI USA INC,4050,Bacardi Oakheart Spiced Rum,750.0,11.99,4639.0399999999745,6464,56366.07999999966,6399.0,76882.01000000176,59128.39999999709,5044.439999999887,89286.26999999999,20515.930000002096,26.68495529708657,0.989944306930693,1.36397652630806,8.719999999999947,Large,779.35
480,BACARDI USA INC,4066,Bacardi Oakheart Spiced Rum,1750.0,21.99,18902.350000000042,9852,126598.20000000163,10719.0,219417.8099999931,142474.67000000938,19700.030000000283,89286.26999999999,92819.60999999147,42.30267816454571,1.0880024360535931,1.7331826992800077,12.850000000000165,Large,-19065.329999999998
480,BACARDI USA INC,4075,Bacardi Pineapple Fusion,1750.0,19.99,8585.669999999971,3247,51529.89000000025,3246.0,70123.54000000001,55226.519999998985,5967.960000000191,89286.26999999999,18593.64999999976,26.515560965689637,0.9996920234062211,1.3608323246954277,15.870000000000076,Large,19.99
480,BACARDI USA INC,4160,Bacardi Gran Reserva Maestro,750.0,24.99,108.5,81,1255.5,564.0,12064.359999999926,8460.989999999936,444.69000000000227,89286.26999999999,10808.859999999926,89.59331452310767,6.962962962962963,9.60920748705689,15.5,Small,-12070.17
480,BACARDI USA INC,4179,Bacardi Dragon Berry Rum,1750.0,19.99,17350.439999999726,6734,101952.75999999762,6719.0,144216.81000000407,98570.23000000606,12349.370000000506,89286.26999999999,42264.05000000645,29.3059110099615,0.9977724977724978,1.4145454228017704,15.139999999999647,Large,299.84999999999997
480,BACARDI USA INC,4196,Bacardi Dragon Berry Rum,750.0,11.99,5848.640000000025,10880,81164.79999999976,10497.0,120103.03000000713,72288.0299999999,8269.709999999668,89286.26999999999,38938.230000007374,32.42068913665631,0.9647977941176471,1.4797428195474822,7.459999999999978,Large,4592.17
480,BACARDI USA INC,4200,Bacardi Grand Melon,750.0,11.99,967.6799999999974,1578,12119.039999999986,2165.0,24690.35000000018,15974.37999999974,1706.0199999999788,89286.26999999999,12571.310000000194,50.91588414097047,1.3719898605830165,2.0373189625581074,7.679999999999992,Large,-7038.13
480,BACARDI USA INC,4204,Bacardi Coco Rum,750.0,11.99,3777.1199999999535,6438,49830.11999999981,6521.0,72356.7900000002,42292.849999999926,5138.189999999908,89286.26999999999,22526.670000000384,31.13276583994442,1.012892202547375,1.4520693508263771,7.739999999999971,Large,-995.1700000000001
480,BACARDI USA INC,4214,Bacardi O Orange Rum,750.0,11.99,105.97999999999996,112,847.8400000000001,116.0,1552.8400000000006,751.4500000000004,91.37000000000002,89286.26999999999,705.0000000000005,45.40068519615673,1.0357142857142858,1.8315248160030198,7.570000000000001,Medium,-47.96
480,BACARDI USA INC,4221,Bacardi Gold Rum Traveler,1750.0,17.99,4063.160000000015,9143,118310.4199999998,11823.0,213320.76999999804,93253.8600000056,21724.909999999938,89286.26999999999,95010.34999999825,44.538724475820665,1.2931204199934376,1.8030598657328611,12.939999999999978,Large,-48213.2
480,BACARDI USA INC,4222,Bacardi Gold Rum,750.0,11.99,10442.929999999773,21056,168237.44000000178,20910.0,229242.8999999974,103863.97000001387,16470.6800000017,89286.26999999999,61005.459999995626,26.611711856723293,0.9930661094224924,1.362615241886675,7.990000000000085,Large,1750.54
480,BACARDI USA INC,4223,Bacardi Gold Rum,1750.0,19.99,29571.43999999853,13236,197481.11999999883,13505.0,288560.94999998686,168313.8699999978,24818.009999999347,89286.26999999999,91079.82999998803,31.56346345546484,1.0203233605318827,1.4612077853315222,14.919999999999911,Large,-5377.3099999999995
